playlist;title;artist;date;timestamp_8s;timestamp_long;duration;url
Lyrics;Make 'Em Laugh;Donald O'Connor;1952;0:04;0:00;65;https://www.youtube.com/watch?v=ieU4Am0t0tc
Lyrics;Mister Sandman;The Chordettes;1954;0:10;0:00;46;https://www.youtube.com/watch?v=PKnPrbPK5vA
Lyrics;Jailhouse Rock;Elvis Presley;1957;0:15;0:00;52;https://www.youtube.com/watch?v=Hi2hpTXeHTI?t=15
Lyrics;Rain;The Beatles;1966;1:18;0:00;48;https://www.youtube.com/watch?v=cK5G8fPmWeA
Lyrics;Monday, Monday;The Mamas & The Papas;1966;1:13;0:29;53;https://www.youtube.com/watch?v=sWGh92O9kxU&t=73
Lyrics;[I Can't Get No] Satisfaction;The Rolling Stones;1965;0:34;0:00;67;https://www.youtube.com/watch?v=MSSxnv1_J2g
Lyrics;Mrs. Robinson;Simon & Garfunkel;1967;0:41;1:45;53;https://www.youtube.com/watch?v=9C1BCAgu2I8
Lyrics;Take Me Home, Country Roads;John Denver;1971;0:31;0:00;54;https://www.youtube.com/watch?v=1vrEljMfXYo
Lyrics;No Woman No Cry;Bob Marley;1974;0:20;0:24;64;https://www.youtube.com/watch?v=pHlSE9j5FGY
Lyrics;Living Together;Bee Gees;1978;0:23;0:33;71;https://www.youtube.com/watch?v=1U9noJETLU0
Lyrics;Hotel California;Eagles;1977;1:50;0:52;78;https://www.youtube.com/watch?v=BciS5krYL80
Lyrics;I Will Survive;Gloria Gaynor;1978;1:04;0:06;68;https://www.youtube.com/watch?v=6dYWe1c3OyU
Lyrics;Highway to Hell;AC/DC;1979;0:52;0:17;53;https://www.youtube.com/watch?v=l482T0yNkeo
Lyrics;Another Brick In The Wall (Part 1);Pink Floyd;1979;0:55;0:14;60;https://www.youtube.com/watch?v=-cfJqYtmmqA
Lyrics;It's Raining Men;The Weather Girls;1983;0:57;0:28;62;https://www.youtube.com/watch?v=l5aZJBLAu1E
Lyrics;Babooshka;Kate Bush;1980;1:58;0:17;55;https://www.youtube.com/watch?v=3NMhpI2-pLU
Lyrics;Why You Wanna Trip on Me;Michael Jackson;1991;1:30;0:53;53;https://www.youtube.com/watch?v=C2FUzoy-UCg
Lyrics;Everybody Wants To Rule The World;Tears For Fears;1985;0:48;1:05;58;https://www.youtube.com/watch?v=znDgBy2mHbc
Lyrics;Murder by Numbers;The Police;1983;1:00;0:19;60;https://www.youtube.com/watch?v=tUq9fURN2VQ
Lyrics;Material Girl;Madonna;1985;0:57;0:25;50;https://www.youtube.com/watch?v=JO9h1fQU_-k
Lyrics;Never Gonna Give You Up;Rick Astley;1987;0:43;0:10;50;https://www.youtube.com/watch?v=dQw4w9WgXcQ
Lyrics;Gangsta's Paradise;Coolio;1995;1:00;0:11;61;https://www.youtube.com/watch?v=Tw0_qHNRAEA
Lyrics;I’ll Be There for You;The Rembrandts;1995;0:31;0:00;47;https://www.youtube.com/watch?v=RIjTq_OdFvo
Lyrics;Can’t Live With You, Can’t Live Without You;Billy Newton-Davis, Céline Dion;1989;2:22;0:31;60;https://www.youtube.com/watch?v=bY8PUuZR4tw
Lyrics;Creep;Radiohead;1992;0:54;0:36;49;https://www.youtube.com/watch?v=XFkzRNyygfk
Orchestral;The Office (Main Theme) "Tv Short Version" ;The Office Band;2011;0:06;0:00;34;https://www.youtube.com/watch?v=3cMctz6KNsg
Orchestral;The Imperial March (Darth Vader's Theme);John Williams & London Symphony;1980;0:09;0:00;42;https://www.youtube.com/watch?v=s3SZ5sIMY6o
Orchestral;Game of Thrones Main Title;Ramin Djawadi;2012;0:09;0:42;56;https://www.youtube.com/watch?v=uXZd_W5B7N0
Orchestral;The Pink Panther Theme;Henry Mancini & His Orchestra;1975;0:12;0:00;45;https://www.youtube.com/watch?v=VyZiIuMufTA
Orchestral;Yakety Sax(1983 version);Ronnie Aldrich Orchestra;1983;0:06;0:50;44;https://www.youtube.com/watch?v=mvsR9KXQknE
Orchestral;Lux Aeterna from Requiem for a Dream;Clint Mansell;;1:22;1:07;60;https://www.youtube.com/watch?v=0-jVz7Dou4Y
Orchestral;il porco rosso;Joe Hisaishi;1998;0:23;0:38;66;https://www.youtube.com/watch?v=iKMHCmDdJ2U
Orchestral;Another Brick In The Wall (Part 1);Pink Floyd;1979;1:37;1:24;45;https://www.youtube.com/watch?v=-cfJqYtmmqA
Orchestral;Kiki's Delivery Service;Joe Hisaishi;;0:12;0:00;48;https://www.youtube.com/watch?v=HPg_auEBL1Y
Orchestral;Waltz No. 2;Dmitri Shostakovich;1938;0:42;0:00;41;https://www.youtube.com/watch?v=mmCnQDUSO4I&t=42
Orchestral;The Moldau;Bedrich Smetana;;0:00;0:00;54;https://www.youtube.com/watch?v=pT2bgYo9RT0
Orchestral;2001, l'odyssée de l’espace;;1968;0:09;0:19;61;https://www.youtube.com/watch?v=5HjTXZPnYso
Orchestral;The 4 Seasons, Op. 8/4, RV 297, "Winter";Vivaldi;;1:14;1:06;60;https://www.youtube.com/watch?v=_FeJFs6LJjU
Orchestral;Back To The Future (From "Back To The Future" Original Score);The Outatime Orchestra;1985;2:03;0:00;48;https://www.youtube.com/watch?v=LpbHlXPmmcE
Orchestral;Main Title Terminator 2 Theme (Remastered 2017);Brad Fiedel;1991;0:59;0:51;54;https://www.youtube.com/watch?v=CnQm2_cAZvo
Orchestral;Hook prologue;John Williams;1991;0:14;0:00;44;https://www.youtube.com/watch?v=OwpOeeQJXGI
Orchestral;Suite bergamasque, CD 82, L. 75: III. Clair de lune;Debussy;;0:02;0:02;50;https://www.youtube.com/watch?v=JVmwLJeeOy4
Orchestral;Gnossienne No.1;Erik Satie;;0:24;0:00;63;https://www.youtube.com/watch?v=t27rzTkFKmU
