playlist;title;artist;date;timestamp_8s;timestamp_long;duration;url
Lyrics;Goodbye_Blue_Sky;Pink_Floyd;1979;;1:50;48;https://www.youtube.com/watch?v=bn6YnUt4Vuk
Lyrics;Synchronicity;The_Police;1983;;0:15;47;https://www.youtube.com/watch?v=Si5CSpUCDGY
Lyrics;Paperback_writer;The_Beatles;1966;;0:09;46;https://www.youtube.com/watch?v=yYvkICbTZIQ
Orchestral;Make_Em_Laugh;Donald_O_Connor;1952.0;;1:36;60;https://www.youtube.com/watch?v=ieU4Am0t0tc
Orchestral;My_Name_is_Nobody_Good_Luck_Jack;Ennio Morricone;;;3:17;53;https://www.youtube.com/watch?v=duF1OQho1gc
Synthetic;Super_Mario_Bros_(NES)_Music_Castle_Theme;;;;0:00;47;https://www.youtube.com/watch?v=In8WfBgBEis
Synthetic;Super_Mario_Bros_3_Athletic_Theme;;;;0:00;50;https://www.youtube.com/watch?v=l6CxZInFlZM
Synthetic;Super_Mario_Bros_3_Castle_Theme;;;;0:00;53;https://www.youtube.com/watch?v=ixA3SzX6uUc
Synthetic;Super_Mario_Bros_3_Airship;;;;0:00;60;https://www.youtube.com/watch?v=7TO0N4KxzPE
Synthetic;Super_Mario_Bros_3_Boss_Battle;;;;0:00;57;https://www.youtube.com/watch?v=8Tj3-bmDnS8
