category	track	S1_duration	S1_start	S1_stop	S2_duration	S2_start	S2_stop	S3_duration	S3_start	S3_stop	S4_duration	S4_start	S4_stop
Synthetic	Super_Mario_Bros_(NES)_Music_Overworld_Theme.wav	5.0	610063	850063	4.0	1679267	1871267	6.0	2305597.0	2593597.0			
Synthetic	Super_Mario_Bros_3_Boss_Battle.wav	4.0	697356	889356	4.0	1401540	1593540	6.0	2119862.0	2407862.0			
Synthetic	Final_Fantasy_7_Music_Aeriths_Theme.wav	4.0	1431990	1623990	4.0	335400	527400	6.0	869031.0	1157031.0			
Synthetic	Super_Mario_Bros_(NES)_Music_Castle_Theme.wav	6.0	890580	1178580	6.0	1553961	1841961						
Synthetic	Super_Mario_Bros_3_Castle_Theme.wav	5.0	2202041	2442041	4.0	1570830	1762830	4.0	677482.0	869482.0			
Synthetic	Legend_of_Zelda_The_(NES)_Music_Overworld_Theme.wav	4.0	1822604	2014604	4.0	689505	881505	4.0	1176625.0	1368625.0			
Synthetic	Super_Mario_Bros_3_Athletic_Theme.wav	6.0	526615	814615	6.0	1833282	2121282						
Synthetic	Super_Mario_Bros_(NES)_Music_Underground_Theme.wav	6.0	1272364	1560364	6.0	366380	654380						
Synthetic	Megalovania_Undertale.wav	4.0	1029632	1221632	6.0	1729754	2017754	4.0	2430722.0	2622722.0			
Synthetic	Sim_City_Growth_extended.wav	4.0	1628421	1820421	4.0	769582	961582	4.0	337133.0	529133.0			
Synthetic	Super_Mario_Bros_3_Underwater_Theme.wav	4.0	1828148	2020148	4.0	592475	784475	4.0	1269495.0	1461495.0			
Synthetic	Castlevania_4_Bloody_Tears_(Super_Nintendo).wav	5.0	1043816	1283816	4.0	2579269	2771269	5.0	1812138.0	2052138.0			
Synthetic	Streets_Of_Rage_1_OST_Stage_1.wav	5.0	1236204	1476204	6.0	571003	859003						
Synthetic	Street_Fighter_II_Champion_Edition_Arcade_Music_Guile_Theme_(CPS_1).wav	5.0	1338376	1578376	5.0	2097113	2337113	4.0	407658.0	599658.0			
Synthetic	Shinobi_3_Return_Of_The_Ninja_Master_OST_Idaten_(level_5_1).wav	5.0	2343040	2583040	6.0	317883	605883	4.0	1432786.0	1624786.0			
Synthetic	Mortal_Kombat_(Sega_Genesis)_Opening_Theme.wav	6.0	1540694	1828694	6.0	250535	538535						
Synthetic	Celeste_Original_Soundtrack_03_Resurrections.wav	6.0	1841729	2129729	6.0	782211	1070211						
Synthetic	Invincibility_Sonic_the_Hedgehog_2.wav	5.0	1864192	2104192	4.0	1404807	1596807	4.0	497734.0	689734.0			
Synthetic	Aladdin_Genesis_Music_Ending.wav	6.0	296291	584291	5.0	1042614	1282614	5.0	2214034.0	2454034.0			
Synthetic	Donkey_Kong_Country_OST_(Super_Nintendo)_DK_Island_Swing.wav	5.0	479433	719433	6.0	1410922	1698922	4.0	2503856.0	2695856.0			
Synthetic	Shinobi_3_Return_Of_The_Ninja_Master_OST_Shinobi_Walk_(level_4_2).wav	5.0	1255627	1495627	4.0	2114310	2306310	4.0	769150.0	961150.0			
Synthetic	Sid_Meiers_Civilization_SNES_OST_06_City_Menu.wav	5.0	1412644	1652644	6.0	506707	794707	4.0	2408179.0	2600179.0			
Synthetic	Super_Mario_Bros_3_Airship.wav	4.0	243460	435460	5.0	2238247	2478247	6.0	1578341.0	1866341.0			
Synthetic	Shinobi_3_Return_Of_The_Ninja_Master_OST_Japonesque_(level_1_1).wav	6.0	1511605	1799605	5.0	709375	949375						
Synthetic	Populous_(SNES_SFC)_BGM_01_Title_Theme.wav	6.0	1522586	1810586	6.0	905473	1193473						
Synthetic	Sonic_The_Hedgehog_OST_Green_Hill_Zone.wav	4.0	1035101	1227101	5.0	1537967	1777967	4.0	2127493.0	2319493.0			
Synthetic	Super_Mario_64_BobOmb_Battlefield_(Extended)_Theme.wav	4.0	2372907	2564907	5.0	1864174	2104174	5.0	979489.0	1219489.0			
Synthetic	Original_Tetris_theme_(Tetris_Soundtrack).wav	6.0	1461341	1749341	6.0	288077	576077						
Synthetic	Super_Mario_Bros_3_Overworld_1_Theme.wav	5.0	390948	630948	5.0	1685909	1925909	4.0	1122897.0	1314897.0			
Synthetic	Space_Harrier_Music_MAIN_THEME.wav	6.0	1304038	1592038	6.0	247204	535204						
Orchestral	The_Imperial_March_(Darth_Vaders_Theme).wav	4.0	823612	1015612	4.0	1961754	2153754	4.0	1357832.0	1549832.0			
Orchestral	2001_l_odyssée_de_l_espace.wav	6.0	1892406	2180406	5.0	555126	795126	4.0	2541033.0	2733033.0			
Orchestral	Kikis_Delivery_Service.wav	6.0	353997	641997	6.0	1127882	1415882						
Orchestral	Main_Title_Terminator_2_Theme_(Remastered_2017).wav	5.0	1644426	1884426	4.0	666789	858789	5.0	2210781.0	2450781.0			
Orchestral	Yakety_Sax(1983_version).wav	5.0	1009157	1249157	6.0	1578071	1866071						
Orchestral	Star_Trek_the_Next_Generation_(Main_Title).wav	5.0	363211	603211	5.0	1952063	2192063	4.0	909948.0	1101948.0			
Orchestral	The_4_Seasons_Op_8_4_RV_297_Winter.wav	5.0	2388998	2628998	6.0	331089	619089	4.0	910650.0	1102650.0			
Orchestral	Lux_Aeterna_from_Requiem_for_a_Dream.wav	6.0	380448	668448	4.0	1428627	1620627	5.0	1960453.0	2200453.0			
Orchestral	Game_of_Thrones_Main_Title.wav	5.0	1148334	1388334	4.0	2300224	2492224	5.0	571666.0	811666.0			
Orchestral	My_Name_is_Nobody_Good_Luck_Jack.wav	5.0	936655	1176655	4.0	1769206	1961206	4.0	476022.0	668022.0			
Orchestral	My_Name_is_Nobody_Il_Mio_Nome_e_Nessuno.wav	4.0	1025688	1217688	4.0	2070550	2262550	5.0	359266.0	599266.0			
Orchestral	Hook_prologue.wav	5.0	593439	833439	6.0	1714198	2002198						
Orchestral	il_porco_rosso.wav	4.0	1919934	2111934	4.0	762646	954646	4.0	1477155.0	1669155.0	4.0	2426636.0	2618636.0
Orchestral	Suite_bergamasque_CD_82_L_75_III_Clair_de_lune.wav	4.0	1031638	1223638	4.0	559976	751976	4.0	1555356.0	1747356.0			
Orchestral	Dreaming_of_Bag_End.wav	4.0	1849676	2041676	4.0	363726	555726	5.0	1273367.0	1513367.0			
Orchestral	The_Pink_Panther_Theme.wav	5.0	1128203	1368203	6.0	1835236	2123236						
Orchestral	Gnossienne_No1.wav	4.0	2751712	2943712	4.0	1002982	1194982	4.0	2048882.0	2240882.0	4.0	426051.0	618051.0
Orchestral	Seinfeld_Official_Soundtrack_(Seinfeld_Theme).wav	5.0	914633	1154633	4.0	1951802	2143802	4.0	409069.0	601069.0			
Orchestral	Make_Em_Laugh.wav	5.0	1454106	1694106	6.0	805937	1093937	4.0	2528395.0	2720395.0			
Orchestral	Moonlight_Sonata.wav	6.0	1655723	1943723	6.0	626440	914440						
Orchestral	Body_and_soul.wav	5.0	1868487	2108487	6.0	635002	923002	4.0	1295887.0	1487887.0			
Orchestral	Waltz_No_2.wav	4.0	1069253	1261253	5.0	2381093	2621093	6.0	3234082.0	3522082.0	4.0	1636078.0	1828078.0
Orchestral	Another_Brick_In_The_Wall_(Part_1).wav	5.0	1430391	1670391	6.0	776536	1064536						
Orchestral	The_Moldau.wav	4.0	969613	1161613	5.0	2212028	2452028	5.0	1614936.0	1854936.0			
Orchestral	Stairway_To_Heaven.wav	4.0	557422	749422	5.0	1239898	1479898	4.0	2001117.0	2193117.0			
Orchestral	The_Office_(Main_Theme).wav	4.0	1833622	2025622	4.0	1355492	1547492	4.0	822191.0	1014191.0	4.0	2313711.0	2505711.0
Orchestral	Back_To_The_Future.wav	6.0	1858788	2146788	6.0	573348	861348						
Lyrics	Babooshka.wav	4.0	985509	1177509	4.0	401770	593770	6.0	2079032.0	2367032.0			
Lyrics	Mrs_Robinson.wav	4.0	358000	550000	5.0	1743732	1983732	4.0	1163197.0	1355197.0			
Lyrics	Mister_Sandman.wav	4.0	1553182	1745182	4.0	271755	463755	4.0	922050.0	1114050.0			
Lyrics	Take_Me_Home_Country_Roads.wav	5.0	720399	960399	5.0	2142636	2382636	4.0	1667594.0	1859594.0			
Lyrics	No_Woman_No_Cry.wav	5.0	2804291	3044291	5.0	1561385	1801385	6.0	2100860.0	2388860.0			
Lyrics	I_Will_Survive.wav	4.0	3058260	3250260	4.0	1212920	1404920	5.0	384690.0	624690.0	4.0	2242894.0	2434894.0
Lyrics	Everybody_Wants_To_Rule_The_World.wav	4.0	738896	930896	4.0	1433950	1625950	6.0	2465393.0	2753393.0			
Lyrics	Living_Together.wav	4.0	1419622	1611622	4.0	2097221	2289221	4.0	491205.0	683205.0	6.0	2900325.0	3188325.0
Lyrics	Paperback_writer.wav	4.0	1779247	1971247	4.0	519648	711648	4.0	1020139.0	1212139.0			
Lyrics	Never_Gonna_Give_You_Up.wav	6.0	1112445	1400445	6.0	2035981	2323981						
Lyrics	Synchronicity.wav	4.0	435402	627402	4.0	952227	1144227	4.0	1712890.0	1904890.0			
Lyrics	Monday_Monday.wav	4.0	484921	676921	4.0	2134636	2326636	5.0	1079809.0	1319809.0			
Lyrics	Highway_to_Hell.wav	4.0	421927	613927	4.0	2261910	2453910	5.0	1621233.0	1861233.0			
Lyrics	Jailhouse_Rock.wav	5.0	1453705	1693705	4.0	507694	699694	4.0	2069513.0	2261513.0			
Lyrics	I_Can't_Get_No_Satisfaction.wav	6.0	1249793	1537793	5.0	2489494	2729494	6.0	441189.0	729189.0			
Lyrics	Rain.wav	4.0	2094774	2286774	4.0	1442038	1634038	4.0	944102.0	1136102.0			
Lyrics	Goodbye_Blue_Sky.wav	6.0	971787	1259787	6.0	254375	542375						
Lyrics	Cant_Live_With_You_Cant_Live_Without_You.wav	5.0	2149881	2389881	6.0	1453928	1741928	4.0	891903.0	1083903.0			
Lyrics	Murder_by_Numbers.wav	4.0	1131675	1323675	5.0	356857	596857	6.0	2275966.0	2563966.0			
Lyrics	Why_You_Wanna_Trip_on_Me.wav	4.0	461886	653886	5.0	2155905	2395905	4.0	1594126.0	1786126.0			
